Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd;Remarks
Aegopodium podagraria;Leipzig;Aeg_pod_Lei;2022;NA;61;89;NA;NA;NA;NA;NA;NA;243;285;NA;NA;NA
Agrimonia eupatoria;Vienna;Agr_eup_Vie;2022;62;83;159;168;50;202;43;197;363;180;329;100;354;NA
Agrimonia eupatoria;Jena;Agr_eup_Jen;2022;54;61;137;187;25;222;85;243;320;159;328;100;354;NA
Agrimonia pilosa;Srinagar;Agr_pil_Sri;2022;46;53;144;165;90;200;56;228;347;207;290;100;347;NA
Ajuga pyramidalis;Berlin;Aju_pyr_Ber;2022;NA;54;124;131;70;137;13;159;159;137;152;70;159;NA
Ajuga pyramidalis;Frankfurt;Aju_pyr_Fra;2022;5;5;103;103;20;341;238;NA;NA;139;147;20;154;NA
Ajuga reptans;Potsdam;Aju_rep_Pot;2022;33;41;118;124;100;139;21;174;201;174;244;40;355;NA
Ajuga reptans;Vienna;Aju_rep_Vie;2022;76;89;NA;NA;NA;NA;NA;NA;NA;250;27;100;329;NA
Alcea rosea;Srinagar;Alc_ros_Sri;2022;39;46;144;158;100;193;49;200;242;193;256;100;256;NA
Alchemilla mollis;Trondheim;Alc_mol_Tro;2022;69;69;168;193;100;248;80;227;242;234;234;5;248;NA
Alchemilla monticola;Potsdam;Alc_mon_Pot;2022;20;33;139;144;100;187;48;NA;NA;187;327;100;355;NA
Alchemilla vulgaris;Leipzig;Alc_vul_Lei;2022;NA;82;103;NA;145;NA;NA;208;NA;236;285;NA;NA;NA
Alchemilla vulgaris;Berlin;Alc_vul_Ber;2022;NA;95;137;152;100;172;35;187;298;172;298;80;298;NA
Alchemilla vulgaris;Halle;Alc_vul_Hal;2022;11;11;139;145;100;174;35;187;236;174;355;100;355;NA
Alchemilla xanthochlora;Jena;Alc_xan_Jen;2022;5;47;131;144;70;152;21;173;215;159;271;100;354;NA
Alchemilla xanthochlora;Frankfurt;Alc_xan_Fra;2022;39;54;124;131;100;145;21;NA;NA;145;341;100;363;NA
Allium nutans;Tuebingen;All_nut_Tue;2022;5;5;209;209;20;230;21;194;292;262;355;100;355;NA
Allium obliquum;Vienna;All_obl_Vie;2022;5;62;154;159;100;174;20;194;221;96;298;100;298;NA
Allium schoenoprasum;Halle;All_sch_Hal;2022;11;40;124;131;100;319;195;174;294;124;355;95;355;NA
Allium schoenoprasum;Frankfurt;All_sch_Fra;2022;NA;19;125;139;75;229;104;195;257;243;314;95;341;NA
Allium schoenoprasum;Petrozavodsk;All_sch_Pet;2022;110;118;164;178;20;178;14;220;220;220;239;20;302;NA
Allium schoenoprasum;Xixon;All_sch_Xix;2022;12;12;94;138;100;250;156;159;306;117;12;50;362;NA
Allium senescens;Prague;All_sen_Pra;2022;55;62;217;230;80;258;41;265;328;132;300;40;328;NA
Allium stracheyi;Srinagar;All_str_Sri;2022;NA;60;179;193;85;235;56;242;361;214;340;90;361;NA
Allium ursinum;Xixon;All_urs_Xix;2022;68;68;94;94;100;110;16;124;152;103;159;95;159;NA
Allium ursinum;Tuebingen;All_urs_Tue;2022;55;68;117;132;100;138;21;159;168;145;181;100;181;NA
Allium ursinum;Trondheim;All_urs_Tro;2022;83;83;147;161;100;161;14;212;212;168;227;100;227;NA
Allium ursinum;Frankfurt;All_urs_Fra;2022;19;40;110;125;100;125;15;159;166;131;152;100;173;NA
Allium ursinum;Vienna;All_urs_Vie;2022;20;41;104;111;75;126;22;145;166;126;181;100;215;NA
